language_code,language_name,hours_asr,hours_translation,hours,region,language_family,needs_cer,needs_cer_confidence
en,english,438218.0,0.0,438218.0,Western Europe,Germanic,False,
zh,chinese,23446.0,11731.0,35177.0,East Asia,Sino-Tibetan,True,verified
es,spanish,11100.0,6693.0,17793.0,Western Europe,Romance,False,
de,german,13344.0,4309.0,17653.0,Western Europe,Germanic,False,
ru,russian,9761.0,7687.0,17448.0,Eastern Europe,Slavic,False,
ja,japanese,7054.0,8860.0,15914.0,East Asia,Japonic,True,verified
fr,french,9752.0,4481.0,14233.0,Western Europe,Romance,False,
pt,portuguese,8573.0,3620.0,12193.0,Western Europe,Romance,False,
cy,welsh,73.0,8263.0,8336.0,Western Europe,Celtic,False,
ko,korean,7993.0,0.0,7993.0,East Asia,Koreanic,False,
tr,turkish,4333.0,2241.0,6574.0,Middle East,Turkic,False,
pl,polish,4278.0,2200.0,6478.0,Eastern Europe,Slavic,False,
hi,hindi,12.0,5438.0,5450.0,South Asia,Indo-Iranian,False,
it,italian,2585.0,2145.0,4730.0,Southern Europe,Romance,False,
nl,dutch,2077.0,1767.0,3844.0,Western Europe,Germanic,False,
sv,swedish,2119.0,1055.0,3174.0,Northern Europe,Germanic,False,
ar,arabic,739.0,2286.0,3025.0,Middle East,Semitic,False,
vi,vietnamese,691.0,1719.0,2410.0,Southeast Asia,Austroasiatic,False,
id,indonesian,1014.0,1174.0,2188.0,Southeast Asia,Austronesian,False,
ca,catalan,1883.0,236.0,2119.0,Western Europe,Romance,False,
ur,urdu,104.0,1990.0,2094.0,South Asia,Indo-Iranian,False,
ms,malay,382.0,1691.0,2073.0,Southeast Asia,Austronesian,False,
bn,bengali,1.3,1988.0,1989.3,South Asia,Indo-Iranian,False,
nn,norwegian nynorsk,0.0,1889.0,1889.0,Northern Europe,Germanic,False,
th,thai,226.0,1635.0,1861.0,Southeast Asia,Tai-Kadai,True,verified
fi,finnish,1066.0,750.0,1816.0,Northern Europe,Uralic,False,
ta,tamil,136.0,1484.0,1620.0,South Asia,Dravidian,False,
la,latin,0.0,1614.0,1614.0,Other,Romance,False,
el,greek,529.0,968.0,1497.0,Southern Europe,Hellenic,False,
mi,maori,0.0,1381.0,1381.0,Oceania,Austronesian,False,
uk,ukrainian,697.0,509.0,1206.0,Eastern Europe,Slavic,False,
he,hebrew,688.0,418.0,1106.0,Middle East,Semitic,False,
te,telugu,4.3,987.0,991.3,South Asia,Dravidian,False,
tl,tagalog,75.0,894.0,969.0,Southeast Asia,Austronesian,False,
hu,hungarian,379.0,554.0,933.0,Eastern Europe,Uralic,False,
ro,romanian,356.0,555.0,911.0,Southern Europe,Romance,False,
ml,malayam,0.5,892.0,892.5,South Asia,Dravidian,False,
da,danish,473.0,386.0,859.0,Western Europe,Germanic,False,
km,khmer,1.3,672.0,673.3,Southeast Asia,Austroasiatic,True,likely_unverified
jw,javanese,0.0,622.0,622.0,Southeast Asia,Austronesian,False,
cs,czech,192.0,401.0,593.0,Eastern Europe,Slavic,False,
no,norwegian,266.0,322.0,588.0,Northern Europe,Germanic,False,
sl,slovenian,41.0,395.0,436.0,Southern Europe,Slavic,False,
yo,yoruba,0.0,432.0,432.0,West Africa,Niger-Congo,False,
fa,persian,24.0,392.0,416.0,Middle East,Indo-Iranian,False,
gl,galician,8.9,368.0,376.9,Western Europe,Romance,False,
haw,hawaiian,0.0,338.0,338.0,Oceania,Austronesian,False,
af,afrikaans,4.1,330.0,334.1,Southern Africa,Germanic,False,
hr,croatian,91.0,239.0,330.0,Southern Europe,Slavic,False,
mr,marathi,0.6,288.0,288.6,South Asia,Indo-Iranian,False,
bg,bulgarian,86.0,202.0,288.0,Eastern Europe,Slavic,False,
sw,swahili,5.4,282.0,287.4,East Africa,Niger-Congo,False,
sn,shona,0.0,279.0,279.0,Southern Africa,Niger-Congo,False,
br,breton,0.0,269.0,269.0,Western Europe,Celtic,False,
sk,slovak,90.0,144.0,234.0,Eastern Europe,Slavic,False,
bs,bosnian,11.0,219.0,230.0,Southern Europe,Slavic,False,
si,sinhala,5.4,211.0,216.4,South Asia,Indo-Iranian,False,
gu,gujarati,0.3,208.0,208.3,South Asia,Indo-Iranian,False,
sa,sanskrit,0.0,195.0,195.0,South Asia,Indo-Iranian,False,
eu,basque,21.0,168.0,189.0,Western Europe,Basque,False,
bo,tibetan,0.0,186.0,186.0,Central Asia,Sino-Tibetan,False,
lt,lithuanian,67.0,99.0,166.0,Northern Europe,Baltic,False,
sr,serbian,28.0,136.0,164.0,Eastern Europe,Slavic,False,
as,assamese,0.0,136.0,136.0,South Asia,Indo-Iranian,False,
be,belarusian,2.4,133.0,135.4,Eastern Europe,Slavic,False,
ne,nepali,0.6,133.0,133.6,South Asia,Indo-Iranian,False,
lv,latvian,65.0,68.0,133.0,Northern Europe,Baltic,False,
az,azerbaijani,47.0,86.0,133.0,Caucasus,Turkic,False,
hy,armenian,13.0,116.0,129.0,Caucasus,Armenian,False,
et,estonian,41.0,79.0,120.0,Northern Europe,Uralic,False,
pa,punjabi,0.8,117.0,117.8,South Asia,Indo-Iranian,False,
is,icelandic,16.0,84.0,100.0,Northern Europe,Germanic,False,
kn,kannada,3.8,90.0,93.8,South Asia,Dravidian,False,
yi,yiddish,0.4,85.0,85.4,Eastern Europe,Germanic,False,
mn,mongolian,0.0,79.0,79.0,East Asia,Mongolic,False,
sq,albanian,5.7,72.0,77.7,Southern Europe,Albanian,False,
ht,haitian creole,1.0,74.0,75.0,Caribbean,Creole (French-based),False,
ps,pashto,0.0,63.0,63.0,South Asia,Indo-Iranian,False,
my,burmese,0.1,59.0,59.1,Southeast Asia,Sino-Tibetan,True,likely_unverified
oc,occitan,0.0,49.0,49.0,Western Europe,Romance,False,
mk,macedonian,16.0,30.0,46.0,Southern Europe,Slavic,False,
sd,sindhi,0.0,46.0,46.0,South Asia,Indo-Iranian,False,
fo,faroese,0.0,46.0,46.0,Northern Europe,Germanic,False,
kk,kazakh,12.0,31.0,43.0,Central Asia,Turkic,False,
mt,maltese,1.1,41.0,42.1,Southern Europe,Semitic,False,
ka,georgian,0.6,40.0,40.6,Caucasus,Kartvelian,False,
am,amharic,0.0,32.0,32.0,Horn of Africa,Semitic,False,
so,somali,0.0,21.0,21.0,Horn of Africa,Cushitic,False,
lo,lao,0.1,20.0,20.1,Southeast Asia,Tai-Kadai,True,likely_unverified
ln,lingala,0.0,20.0,20.0,Central Africa,Niger-Congo,False,
tg,tajik,0.3,15.0,15.3,Central Asia,Indo-Iranian,False,
tt,tatar,0.0,14.0,14.0,Central Asia,Turkic,False,
lb,luxembourgish,0.0,10.0,10.0,Western Europe,Germanic,False,
ha,hausa,0.0,8.0,8.0,West Africa,Chadic,False,
su,sundanese,0.1,7.0,7.1,Southeast Asia,Austronesian,False,
uz,uzbek,0.3,4.0,4.3,Central Asia,Turkic,False,
mg,malagasy,0.2,2.0,2.2,Sub-Saharan Africa,Austronesian,False,
tk,turkmen,0.0,1.0,1.0,Central Asia,Turkic,False,
ba,bashkir,0.0,1.0,1.0,Central Asia,Turkic,False,
yue,cantonese,,,,East Asia,Sino-Tibetan,True,likely_unverified
