host,state,serial,dataset_path,dataset,split,model_id,force_asr_language,model/num_parameters,batch_size,gradient_accumulation_steps,max_steps,lr,wer,cer,rtfx,no_params,num_samples,audio_length_s_mean,eval/cer,eval/loss,train/loss,train/train_audio_seconds,train/epoch,train/global_step,total_flos,train_runtime
DGX-H200-CN03,finished,0,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,crs,3656222720,8,64,1000,0.0015,,,,,,,21.78,0.6662564277648926,0.5986,7603795.907624959,1.3986101094866583,1000,5.207957902036304e+18,46414.0815
DGX-H200-CN03,finished,0,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,crs,3656222720,8,64,1000,0.0015,,,,,,,22.4,0.6604252457618713,0.5893,7603795.907624959,1.3986101094866583,1000,5.207957902036304e+18,43942.2592
DGX-H200-CN03,finished,0,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,crs,3656222720,8,64,1000,0.0015,,,,,,,23.56,0.6759102940559387,0.6036,7603795.907624959,1.3986101094866583,1000,5.207957902036304e+18,43258.7939
DGX-H200-CN03,finished,0,ERISLab/WorldSpeech,crs_sc,val_clean,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,crs,3656222720,8,64,1000,0.0015,,,,,,,21.45,0.6659922003746033,0.5958,7603795.907624959,1.3986101094866583,1000,5.207957902036304e+18,42510.4648
DGX-H200-CN05,finished,0,disco-eth/WorldSpeech,ha_ng,test,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,ha,3656222720,8,64,1000,0.0015,,,,,,,34.96,1.1052783727645874,0.7953,8156276.436187484,18.046,1000,8.259013292782387e+18,74472.0899
DGX-H200-CN05,finished,0,disco-eth/WorldSpeech,ha_ng,test,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,ha,3656222720,8,64,1000,0.0015,,,,,,,35.93,1.1022322177886963,0.8191,8156276.436187484,18.046,1000,8.259013292782387e+18,75088.1763
DGX-H200-CN03,finished,0,disco-eth/WorldSpeech,ha_ng,test,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,ha,3656222720,8,64,1000,0.0015,,,,,,,37.01,1.1617300510406494,0.8883,8156276.436187484,18.046,1000,8.259013292782387e+18,72860.723
DGX-H200-CN05,finished,0,disco-eth/WorldSpeech,ha_ng,test,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,ha,3656222720,8,64,1000,0.0015,,,,,,,36.25,1.110265612602234,0.8206,8156276.436187484,18.046,1000,8.259013292782387e+18,74046.8724
DGX-H200-CN03,finished,0,google/fleurs,am_et,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,am,3656222720,8,64,1000,0.0015,,,,,,,38.65,0.8880168199539185,0.2485,7975860.203000017,58.014,1000,8.472659489025688e+18,69422.1448
DGX-H200-CN04,finished,0,google/fleurs,am_et,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,am,3656222720,8,64,1000,0.0015,,,,,,,42.74,0.9072147607803344,0.2881,7975860.203000017,58.014,1000,8.472659489025688e+18,68988.2835
DGX-H200-CN03,finished,0,google/fleurs,am_et,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,am,3656222720,8,64,1000,0.0015,,,,,,,37.68,0.9035021662712096,0.2585,7975860.203000017,58.014,1000,8.472659489025688e+18,68105.7708
DGX-H200-CN04,finished,0,google/fleurs,am_et,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,am,3656222720,8,64,1000,0.0015,,,,,,,40.37,1.0040242671966553,0.3598,7975860.203000017,58.014,1000,8.472659489025688e+18,68123.7605
DGX-H200-CN05,finished,0,google/fleurs,en_us,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,en,3656222720,8,64,1000,0.0015,,,,,,,6.94,0.3286576569080353,0.2627,9747968.274062475,1.0,1000,5.499289910656893e+18,56306.3802
DGX-H200-CN03,finished,0,google/fleurs,en_us,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,en,3656222720,8,64,1000,0.0015,,,,,,,4.55,0.3062326908111572,0.2531,9747968.274062475,1.0,1000,5.499289910656893e+18,53914.4189
DGX-H200-CN03,finished,0,google/fleurs,en_us,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,en,3656222720,8,64,1000,0.0015,,,,,,,5.44,0.3492506742477417,0.2664,9747968.274062475,1.0,1000,5.499289910656893e+18,52677.2114
DGX-H200-CN04,finished,0,google/fleurs,en_us,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,en,3656222720,8,64,1000,0.0015,,,,,,,13.12,0.33228185772895813,0.2607,9747968.274062475,1.0,1000,5.499289910656893e+18,65030.4301
DGX-H200-CN05,finished,0,google/fleurs,es_419,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,es,3656222720,8,64,1000,0.0015,,,,,,,3.73,0.30157509446144104,0.1737,7664241.576562584,2.196,1000,5.127932099839918e+18,53610.1481
DGX-H200-CN05,finished,0,google/fleurs,es_419,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,es,3656222720,8,64,1000,0.0015,,,,,,,3.43,0.2867392599582672,0.1639,7664241.576562584,2.196,1000,5.127932099839918e+18,54972.1258
DGX-H200-CN05,finished,0,google/fleurs,es_419,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,es,3656222720,8,64,1000,0.0015,,,,,,,3.49,0.3125574290752411,0.1773,7664241.576562584,2.196,1000,5.127932099839918e+18,54373.1753
DGX-H200-CN04,finished,0,google/fleurs,es_419,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,es,3656222720,8,64,1000,0.0015,,,,,,,3.57,0.29737165570259094,0.1742,7664241.576562584,2.196,1000,5.127932099839918e+18,57902.5568
DGX-H200-CN05,finished,0,google/fleurs,fr_fr,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,fr,3656222720,8,64,1000,0.0015,,,,,,,7.21,0.42377758026123047,0.2597,8295647.156750005,2.242,1000,6.097411144995963e+18,57936.5454
DGX-H200-CN03,finished,0,google/fleurs,fr_fr,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,fr,3656222720,8,64,1000,0.0015,,,,,,,8.47,0.4275922775268554,0.2507,8295647.156750005,2.242,1000,6.097411144995963e+18,60613.8594
DGX-H200-CN03,finished,0,google/fleurs,fr_fr,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,fr,3656222720,8,64,1000,0.0015,,,,,,,9.23,0.4861718714237213,0.2678,8295647.156750005,2.242,1000,6.097411144995963e+18,58974.4602
DGX-H200-CN05,finished,0,google/fleurs,fr_fr,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,fr,3656222720,8,64,1000,0.0015,,,,,,,6.82,0.4210936427116394,0.2581,8295647.156750005,2.242,1000,6.097411144995963e+18,59154.7738
DGX-H200-CN03,finished,0,google/fleurs,hi_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,hi,3656222720,8,64,1000,0.0015,,,,,,,19.19,0.7556024789810181,0.9651,6981310.25549994,1.0,1000,7.236286852050715e+18,53034.9537
DGX-H200-CN03,finished,0,google/fleurs,hi_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,hi,3656222720,8,64,1000,0.0015,,,,,,,20.91,0.7037066221237183,0.9255,6981310.25549994,1.0,1000,7.236286852050715e+18,54399.7579
DGX-H200-CN03,finished,0,google/fleurs,hi_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,hi,3656222720,8,64,1000,0.0015,,,,,,,17.8,0.7246429920196533,0.9419,6981310.25549994,1.0,1000,7.236286852050715e+18,54444.0449
DGX-H200-CN03,finished,0,google/fleurs,hi_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,hi,3656222720,8,64,1000,0.0015,,,,,,,18.61,0.7532570958137512,0.9632,6981310.25549994,1.0,1000,7.236286852050715e+18,53600.4121
DGX-H200-CN03,finished,0,google/fleurs,id_id,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,id,3656222720,8,64,1000,0.0015,,,,,,,6.6,0.48988282680511475,0.2675,7853239.451812519,5.015,1000,5.561461257677439e+18,50596.208
DGX-H200-CN03,finished,0,google/fleurs,id_id,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,id,3656222720,8,64,1000,0.0015,,,,,,,5.94,0.4346955120563507,0.234,7853239.451812519,5.015,1000,5.561461257677439e+18,49294.281
DGX-H200-CN03,finished,0,google/fleurs,id_id,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,id,3656222720,8,64,1000,0.0015,,,,,,,6.43,0.46390029788017273,0.2607,7853239.451812519,5.015,1000,5.561461257677439e+18,49172.0972
DGX-H200-CN03,finished,0,google/fleurs,id_id,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,id,3656222720,8,64,1000,0.0015,,,,,,,6.17,0.4473585188388825,0.2531,7853239.451812519,5.015,1000,5.561461257677439e+18,49997.5168
DGX-H200-CN05,finished,0,google/fleurs,mr_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,mr,3656222720,8,64,1000,0.0015,,,,,,,16.25,1.0248394012451172,0.2357,6886950.060624904,8.096,1000,7.437618008030183e+18,54915.0014
DGX-H200-CN03,finished,0,google/fleurs,mr_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,mr,3656222720,8,64,1000,0.0015,,,,,,,14.95,0.9742046594619752,0.2266,6886950.060624904,8.096,1000,7.437618008030183e+18,54983.0064
DGX-H200-CN03,finished,0,google/fleurs,mr_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,mr,3656222720,8,64,1000,0.0015,,,,,,,14.77,1.0328938961029053,0.2432,6886950.060624904,8.096,1000,7.437618008030183e+18,56030.7569
DGX-H200-CN05,finished,0,google/fleurs,mr_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,mr,3656222720,8,64,1000,0.0015,,,,,,,15.05,1.018077731132507,0.251,6886950.060624904,8.096,1000,7.437618008030183e+18,54899.1164
DGX-H200-CN03,finished,0,google/fleurs,sw_ke,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,sw,3656222720,8,64,1000,0.0015,,,,,,,17.65,0.6936135292053223,0.5076,5335333.532812553,1.411,1000,6.42148277388057e+18,43802.3867
DGX-H200-CN03,finished,0,google/fleurs,sw_ke,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,sw,3656222720,8,64,1000,0.0015,,,,,,,15.52,0.693452775478363,0.4967,5335333.532812553,1.411,1000,6.42148277388057e+18,43411.0722
DGX-H200-CN03,finished,0,google/fleurs,sw_ke,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,sw,3656222720,8,64,1000,0.0015,,,,,,,13.53,0.7108656764030457,0.5106,5335333.532812553,1.411,1000,6.42148277388057e+18,43464.9198
DGX-H200-CN03,finished,0,google/fleurs,sw_ke,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,sw,3656222720,8,64,1000,0.0015,,,,,,,15.95,0.7327739000320435,0.5228,5335333.532812553,1.411,1000,6.42148277388057e+18,44477.0833
DGX-H200-CN05,finished,0,google/fleurs,ta_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,ta,3656222720,8,64,1000,0.0015,,,,,,,65.22,1.2539900541305542,0.1619,7271859.621437214,58.014,1000,8.368873150816715e+18,109092.5941
DGX-H200-CN05,finished,0,google/fleurs,ta_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,ta,3656222720,8,64,1000,0.0015,,,,,,,63.22,1.2323006391525269,0.1057,7271859.621437214,58.014,1000,8.368873150816715e+18,108787.6098
DGX-H200-CN05,finished,0,google/fleurs,ta_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,ta,3656222720,8,64,1000,0.0015,,,,,,,74.44,1.227143168449402,0.2369,7271859.621437214,58.014,1000,8.368873150816715e+18,110017.4568
DGX-H200-CN05,finished,0,google/fleurs,ta_in,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,ta,3656222720,8,64,1000,0.0015,,,,,,,70.92,1.2649197578430176,0.1339,7271859.621437214,58.014,1000,8.368873150816715e+18,109188.7628
DGX-H200-CN03,finished,0,google/fleurs,ur_pk,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,ur,3656222720,8,64,1000,0.0015,,,,,,,31.32,1.2303433418273926,1.8108,4882484.26931256,16.04,1000,6.618439080820605e+18,54762.6238
DGX-H200-CN04,finished,0,google/fleurs,ur_pk,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,ur,3656222720,8,64,1000,0.0015,,,,,,,68.29,1.22586989402771,1.7116,4882484.26931256,16.04,1000,6.618439080820605e+18,54852.0976
DGX-H200-CN04,finished,0,google/fleurs,ur_pk,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,ur,3656222720,8,64,1000,0.0015,,,,,,,32.07,1.260148525238037,1.7847,4882484.26931256,16.04,1000,6.618439080820605e+18,54079.6414
DGX-H200-CN04,finished,0,google/fleurs,ur_pk,validation,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,ur,3656222720,8,64,1000,0.0015,,,,,,,36.06,1.2313454151153564,1.7473,4882484.26931256,16.04,1000,6.618439080820605e+18,54666.9423
