language,row_type,report_region,report_table,mix,variant,proportion_pct,source_url
English,language,English,Table 8,All Regions,global,13.800000,https://arxiv.org/html/2603.11510v1
English,language,English,Table 8,South Asia,fire,46.200000,https://arxiv.org/html/2603.11510v1
English,language,English,Table 8,Europe+WA+AP,water,17.000000,https://arxiv.org/html/2603.11510v1
English,language,English,Table 8,Europe+WA+Af,earth,18.100000,https://arxiv.org/html/2603.11510v1
Dutch,language,Europe,Table 9,All Regions,global,1.600000,https://arxiv.org/html/2603.11510v1
Dutch,language,Europe,Table 9,South Asia,fire,0.200000,https://arxiv.org/html/2603.11510v1
Dutch,language,Europe,Table 9,Europe+WA+AP,water,2.000000,https://arxiv.org/html/2603.11510v1
Dutch,language,Europe,Table 9,Europe+WA+Af,earth,2.200000,https://arxiv.org/html/2603.11510v1
French,language,Europe,Table 9,All Regions,global,1.800000,https://arxiv.org/html/2603.11510v1
French,language,Europe,Table 9,South Asia,fire,0.200000,https://arxiv.org/html/2603.11510v1
French,language,Europe,Table 9,Europe+WA+AP,water,2.200000,https://arxiv.org/html/2603.11510v1
French,language,Europe,Table 9,Europe+WA+Af,earth,2.300000,https://arxiv.org/html/2603.11510v1
Italian,language,Europe,Table 9,All Regions,global,1.700000,https://arxiv.org/html/2603.11510v1
Italian,language,Europe,Table 9,South Asia,fire,0.300000,https://arxiv.org/html/2603.11510v1
Italian,language,Europe,Table 9,Europe+WA+AP,water,2.100000,https://arxiv.org/html/2603.11510v1
Italian,language,Europe,Table 9,Europe+WA+Af,earth,2.200000,https://arxiv.org/html/2603.11510v1
Portuguese,language,Europe,Table 9,All Regions,global,1.700000,https://arxiv.org/html/2603.11510v1
Portuguese,language,Europe,Table 9,South Asia,fire,0.300000,https://arxiv.org/html/2603.11510v1
Portuguese,language,Europe,Table 9,Europe+WA+AP,water,2.100000,https://arxiv.org/html/2603.11510v1
Portuguese,language,Europe,Table 9,Europe+WA+Af,earth,2.200000,https://arxiv.org/html/2603.11510v1
Romanian,language,Europe,Table 9,All Regions,global,1.600000,https://arxiv.org/html/2603.11510v1
Romanian,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Romanian,language,Europe,Table 9,Europe+WA+AP,water,2.000000,https://arxiv.org/html/2603.11510v1
Romanian,language,Europe,Table 9,Europe+WA+Af,earth,2.100000,https://arxiv.org/html/2603.11510v1
Spanish,language,Europe,Table 9,All Regions,global,1.700000,https://arxiv.org/html/2603.11510v1
Spanish,language,Europe,Table 9,South Asia,fire,0.200000,https://arxiv.org/html/2603.11510v1
Spanish,language,Europe,Table 9,Europe+WA+AP,water,2.100000,https://arxiv.org/html/2603.11510v1
Spanish,language,Europe,Table 9,Europe+WA+Af,earth,2.200000,https://arxiv.org/html/2603.11510v1
Czech,language,Europe,Table 9,All Regions,global,1.700000,https://arxiv.org/html/2603.11510v1
Czech,language,Europe,Table 9,South Asia,fire,0.300000,https://arxiv.org/html/2603.11510v1
Czech,language,Europe,Table 9,Europe+WA+AP,water,2.100000,https://arxiv.org/html/2603.11510v1
Czech,language,Europe,Table 9,Europe+WA+Af,earth,2.200000,https://arxiv.org/html/2603.11510v1
Polish,language,Europe,Table 9,All Regions,global,1.400000,https://arxiv.org/html/2603.11510v1
Polish,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Polish,language,Europe,Table 9,Europe+WA+AP,water,1.700000,https://arxiv.org/html/2603.11510v1
Polish,language,Europe,Table 9,Europe+WA+Af,earth,1.800000,https://arxiv.org/html/2603.11510v1
Ukrainian,language,Europe,Table 9,All Regions,global,1.700000,https://arxiv.org/html/2603.11510v1
Ukrainian,language,Europe,Table 9,South Asia,fire,0.200000,https://arxiv.org/html/2603.11510v1
Ukrainian,language,Europe,Table 9,Europe+WA+AP,water,2.100000,https://arxiv.org/html/2603.11510v1
Ukrainian,language,Europe,Table 9,Europe+WA+Af,earth,2.200000,https://arxiv.org/html/2603.11510v1
Russian,language,Europe,Table 9,All Regions,global,1.700000,https://arxiv.org/html/2603.11510v1
Russian,language,Europe,Table 9,South Asia,fire,0.200000,https://arxiv.org/html/2603.11510v1
Russian,language,Europe,Table 9,Europe+WA+AP,water,2.100000,https://arxiv.org/html/2603.11510v1
Russian,language,Europe,Table 9,Europe+WA+Af,earth,2.200000,https://arxiv.org/html/2603.11510v1
Greek,language,Europe,Table 9,All Regions,global,1.700000,https://arxiv.org/html/2603.11510v1
Greek,language,Europe,Table 9,South Asia,fire,0.200000,https://arxiv.org/html/2603.11510v1
Greek,language,Europe,Table 9,Europe+WA+AP,water,2.000000,https://arxiv.org/html/2603.11510v1
Greek,language,Europe,Table 9,Europe+WA+Af,earth,2.200000,https://arxiv.org/html/2603.11510v1
German,language,Europe,Table 9,All Regions,global,1.700000,https://arxiv.org/html/2603.11510v1
German,language,Europe,Table 9,South Asia,fire,0.200000,https://arxiv.org/html/2603.11510v1
German,language,Europe,Table 9,Europe+WA+AP,water,2.100000,https://arxiv.org/html/2603.11510v1
German,language,Europe,Table 9,Europe+WA+Af,earth,2.300000,https://arxiv.org/html/2603.11510v1
Danish,language,Europe,Table 9,All Regions,global,1.000000,https://arxiv.org/html/2603.11510v1
Danish,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Danish,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Danish,language,Europe,Table 9,Europe+WA+Af,earth,1.400000,https://arxiv.org/html/2603.11510v1
Swedish,language,Europe,Table 9,All Regions,global,1.000000,https://arxiv.org/html/2603.11510v1
Swedish,language,Europe,Table 9,South Asia,fire,0.000000,https://arxiv.org/html/2603.11510v1
Swedish,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Swedish,language,Europe,Table 9,Europe+WA+Af,earth,1.400000,https://arxiv.org/html/2603.11510v1
Norwegian,language,Europe,Table 9,All Regions,global,1.000000,https://arxiv.org/html/2603.11510v1
Norwegian,language,Europe,Table 9,South Asia,fire,0.000000,https://arxiv.org/html/2603.11510v1
Norwegian,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Norwegian,language,Europe,Table 9,Europe+WA+Af,earth,1.400000,https://arxiv.org/html/2603.11510v1
Catalan,language,Europe,Table 9,All Regions,global,1.100000,https://arxiv.org/html/2603.11510v1
Catalan,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Catalan,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Catalan,language,Europe,Table 9,Europe+WA+Af,earth,1.400000,https://arxiv.org/html/2603.11510v1
Galician,language,Europe,Table 9,All Regions,global,1.100000,https://arxiv.org/html/2603.11510v1
Galician,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Galician,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Galician,language,Europe,Table 9,Europe+WA+Af,earth,1.400000,https://arxiv.org/html/2603.11510v1
Welsh,language,Europe,Table 9,All Regions,global,1.100000,https://arxiv.org/html/2603.11510v1
Welsh,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Welsh,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Welsh,language,Europe,Table 9,Europe+WA+Af,earth,1.400000,https://arxiv.org/html/2603.11510v1
Irish,language,Europe,Table 9,All Regions,global,1.000000,https://arxiv.org/html/2603.11510v1
Irish,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Irish,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Irish,language,Europe,Table 9,Europe+WA+Af,earth,1.300000,https://arxiv.org/html/2603.11510v1
Basque,language,Europe,Table 9,All Regions,global,1.000000,https://arxiv.org/html/2603.11510v1
Basque,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Basque,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Basque,language,Europe,Table 9,Europe+WA+Af,earth,1.300000,https://arxiv.org/html/2603.11510v1
Croatian,language,Europe,Table 9,All Regions,global,1.000000,https://arxiv.org/html/2603.11510v1
Croatian,language,Europe,Table 9,South Asia,fire,0.000000,https://arxiv.org/html/2603.11510v1
Croatian,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Croatian,language,Europe,Table 9,Europe+WA+Af,earth,1.400000,https://arxiv.org/html/2603.11510v1
Latvian,language,Europe,Table 9,All Regions,global,1.100000,https://arxiv.org/html/2603.11510v1
Latvian,language,Europe,Table 9,South Asia,fire,0.100000,https://arxiv.org/html/2603.11510v1
Latvian,language,Europe,Table 9,Europe+WA+AP,water,1.300000,https://arxiv.org/html/2603.11510v1
Latvian,language,Europe,Table 9,Europe+WA+Af,earth,1.400000,https://arxiv.org/html/2603.11510v1
Lithuanian,language,Europe,Table 9,All Regions,global,1.100000,https://arxiv.org/html/2603.11510v1
