language,report_region,earth,fire,global,water
Amharic,Africa,1.300000,0.000000,1.000000,0.000000
Arabic,West Asia,2.300000,0.300000,1.800000,2.200000
Basque,Europe,1.300000,0.100000,1.000000,1.300000
Bengali,South Asia,0.000000,3.600000,1.100000,0.000000
Bulgarian,Europe,1.400000,0.100000,1.100000,1.300000
Burmese,Asia Pacific,0.000000,0.000000,1.000000,1.300000
Catalan,Europe,1.400000,0.100000,1.100000,1.300000
Chinese,Asia Pacific,0.200000,0.500000,1.900000,2.300000
Code,Code,4.500000,11.700000,3.500000,4.300000
Croatian,Europe,1.400000,0.000000,1.000000,1.300000
Czech,Europe,2.200000,0.300000,1.700000,2.100000
Danish,Europe,1.400000,0.100000,1.000000,1.300000
Dutch,Europe,2.200000,0.200000,1.600000,2.000000
English,English,18.100000,46.200000,13.800000,17.000000
Estonian,Europe,1.400000,0.100000,1.100000,1.300000
Finnish,Europe,1.400000,0.100000,1.100000,1.300000
French,Europe,2.300000,0.200000,1.800000,2.200000
Galician,Europe,1.400000,0.100000,1.100000,1.300000
German,Europe,2.300000,0.200000,1.700000,2.100000
Greek,Europe,2.200000,0.200000,1.700000,2.000000
Gujarati,South Asia,0.000000,3.600000,1.100000,0.000000
Hausa,Africa,1.300000,0.000000,1.000000,0.000000
Hebrew,West Asia,2.300000,0.300000,1.700000,2.100000
Hindi,South Asia,0.100000,5.800000,1.700000,0.100000
Hungarian,Europe,1.400000,0.100000,1.100000,1.300000
Igbo,Africa,1.400000,0.000000,1.100000,0.000000
Indonesian,Asia Pacific,0.100000,0.100000,1.600000,2.000000
Irish,Europe,1.300000,0.100000,1.000000,1.300000
Italian,Europe,2.200000,0.300000,1.700000,2.100000
Japanese,Asia Pacific,0.100000,0.300000,1.800000,2.200000
Javanese,Asia Pacific,0.000000,0.000000,0.900000,1.100000
Khmer,Asia Pacific,0.000000,0.000000,1.000000,1.200000
Korean,Asia Pacific,0.100000,0.400000,1.700000,2.100000
Lao,Asia Pacific,0.000000,0.000000,1.000000,1.300000
Latvian,Europe,1.400000,0.100000,1.100000,1.300000
Lithuanian,Europe,1.400000,0.100000,1.100000,1.300000
Malagasy,Africa,1.200000,0.000000,0.900000,0.000000
Malay,Asia Pacific,0.000000,0.000000,0.900000,1.100000
Maltese,West Asia,1.400000,0.000000,1.000000,1.300000
Marathi,South Asia,0.100000,3.700000,1.100000,0.100000
Nepali,South Asia,0.000000,3.600000,1.100000,0.000000
Norwegian,Europe,1.400000,0.000000,1.000000,1.300000
Persian,West Asia,2.200000,0.100000,1.700000,2.100000
Polish,Europe,1.800000,0.100000,1.400000,1.700000
Portuguese,Europe,2.200000,0.300000,1.700000,2.100000
Punjabi,South Asia,0.000000,3.400000,1.000000,0.000000
Romanian,Europe,2.100000,0.100000,1.600000,2.000000
Russian,Europe,2.200000,0.200000,1.700000,2.100000
Serbian,Europe,1.400000,0.100000,1.100000,1.300000
Shona,Africa,1.400000,0.000000,1.000000,0.000000
Slovak,Europe,1.400000,0.100000,1.000000,1.300000
Slovenian,Europe,1.400000,0.100000,1.000000,1.300000
Spanish,Europe,2.200000,0.200000,1.700000,2.100000
Swahili,Africa,1.300000,0.000000,1.000000,0.000000
Swedish,Europe,1.400000,0.000000,1.000000,1.300000
Tagalog,Asia Pacific,0.000000,0.100000,1.000000,1.200000
Tamil,South Asia,0.000000,3.400000,1.000000,0.000000
Telugu,South Asia,0.000000,3.600000,1.100000,0.000000
Thai,Asia Pacific,0.000000,0.100000,1.000000,1.300000
Turkish,West Asia,2.200000,0.300000,1.700000,2.000000
Ukrainian,Europe,2.200000,0.200000,1.700000,2.100000
Urdu,West Asia,1.300000,3.400000,1.000000,1.200000
Vietnamese,Asia Pacific,0.100000,0.300000,1.700000,2.100000
Welsh,Europe,1.400000,0.100000,1.100000,1.300000
Wolof,Africa,1.400000,0.000000,1.000000,0.000000
Xhosa,Africa,1.300000,0.000000,1.000000,0.000000
Yoruba,Africa,1.200000,0.000000,0.900000,0.000000
Zulu,Africa,1.300000,0.000000,1.000000,0.000000
