population,study_cell,dataset,language_name,seen_in_training,n_models,num_samples,median_variety_cer,median_penalty_abs,median_penalty_rel
baseline,en_us,en_au,English,False,3,3880.000000,9.950000,-0.930000,0.910491
baseline,en_us,en_jm,English,False,3,117.000000,7.970000,-1.980000,0.801005
baseline,en_us,en_ke,English,False,3,1822.000000,25.020000,9.540000,1.958794
baseline,en_us,en_nz,English,False,3,3074.000000,9.740000,-1.480000,0.851256
baseline,en_us,en_pk,English,False,3,237.000000,87.700000,77.310000,7.886432
baseline,en_us,en_sl,English,False,3,1238.000000,16.710000,4.170000,1.419095
baseline,en_us,en_zm,English,False,3,3527.000000,17.770000,5.880000,1.590955
baseline,es_419,es_ar,Spanish (LatAm),False,3,3032.000000,20.220000,10.140000,1.830467
baseline,es_419,es_cl,Spanish (LatAm),False,3,20912.000000,23.350000,11.140000,2.296114
baseline,es_419,es_co,Spanish (LatAm),False,3,1893.000000,17.960000,5.750000,1.470925
baseline,es_419,es_es,Spanish (LatAm),False,3,34140.000000,7.960000,-2.040000,0.832924
baseline,es_419,es_pe,Spanish (LatAm),False,3,4637.000000,10.610000,-1.910000,0.810183
baseline,es_419,es_pr,Spanish (LatAm),False,3,2742.000000,13.920000,1.080000,1.127660
baseline,es_419,es_py,Spanish (LatAm),False,3,1604.000000,12.000000,-0.210000,0.982801
baseline,es_419,es_uy,Spanish (LatAm),False,3,10730.000000,21.410000,11.730000,1.960688
baseline,fr_fr,fr_cd,French,False,3,265.000000,10.580000,-3.750000,0.696511
baseline,fr_fr,fr_ci,French,False,3,116.000000,12.130000,-2.620000,0.827518
baseline,sw_ke,sw_tz,Swahili,True,3,10542.000000,51.190000,26.820000,2.439614
baseline,ta_in,ta_lk,Tamil,False,3,1224.000000,88.760000,45.860000,2.932276
baseline,ur_pk,ur_in,Urdu,True,3,155.000000,47.350000,1.320000,1.028677
trained,en_us,en_au,English,False,4,3880.000000,16.845000,7.350000,1.774325
trained,en_us,en_jm,English,False,4,117.000000,10.635000,1.075000,1.113549
trained,en_us,en_ke,English,False,4,1822.000000,25.405000,15.790000,2.631109
trained,en_us,en_nz,English,False,4,3074.000000,21.930000,12.175000,2.245386
trained,en_us,en_pk,English,False,4,237.000000,659.660000,649.905000,67.808953
trained,en_us,en_sl,English,False,4,1238.000000,21.325000,11.830000,2.245863
trained,en_us,en_zm,English,False,4,3527.000000,23.785000,14.085000,2.449967
trained,es_419,es_ar,Spanish (LatAm),False,4,3032.000000,22.100000,13.010000,2.408807
trained,es_419,es_cl,Spanish (LatAm),False,4,20912.000000,24.145000,14.855000,2.609586
trained,es_419,es_co,Spanish (LatAm),False,4,1893.000000,15.400000,6.160000,1.666864
trained,es_419,es_es,Spanish (LatAm),False,2,34140.000000,14.690000,5.670000,1.631117
trained,es_419,es_pe,Spanish (LatAm),False,4,4637.000000,10.635000,1.400000,1.152652
trained,es_419,es_pr,Spanish (LatAm),False,4,2742.000000,12.305000,3.125000,1.340469
trained,es_419,es_py,Spanish (LatAm),False,4,1604.000000,12.575000,3.480000,1.385826
trained,es_419,es_uy,Spanish (LatAm),False,4,10730.000000,23.670000,14.520000,2.578073
trained,fr_fr,fr_cd,French,False,3,265.000000,11.810000,3.200000,1.371661
trained,fr_fr,fr_ci,French,False,3,116.000000,13.530000,4.920000,1.571429
trained,sw_ke,sw_tz,Swahili,True,4,10542.000000,14.030000,-1.105000,0.925794
trained,ta_in,ta_lk,Tamil,False,4,1224.000000,75.470000,59.680000,4.662361
trained,ur_pk,ur_in,Urdu,True,4,155.000000,18.975000,-59.830000,0.241314
