population,excludes_degenerate,predictor,outcome,aggregation,study_cell,spearman_rho,spearman_p,n,model_population
held_out_only,False,primary_wer,variety_wer,pooled,ALL,0.442115,0.000817,54,baseline
held_out_only,False,primary_wer,variety_wer,language_centred,ALL,0.287173,0.035250,54,baseline
held_out_only,False,primary_wer,variety_wer,within_language,en_us,0.317837,0.160305,21,baseline
held_out_only,False,primary_wer,variety_wer,within_language,es_419,0.427582,0.037144,24,baseline
held_out_only,False,primary_wer,penalty_rel,pooled,ALL,-0.222460,0.105917,54,baseline
held_out_only,False,primary_wer,penalty_rel,language_centred,ALL,-0.303082,0.025896,54,baseline
held_out_only,False,primary_wer,penalty_rel,within_language,en_us,-0.134840,0.560062,21,baseline
held_out_only,False,primary_wer,penalty_rel,within_language,es_419,-0.383349,0.064439,24,baseline
held_out_only,False,fleurs_wer,variety_wer,pooled,ALL,0.247208,0.071517,54,baseline
held_out_only,False,fleurs_wer,variety_wer,language_centred,ALL,0.199173,0.148773,54,baseline
held_out_only,False,fleurs_wer,variety_wer,within_language,en_us,0.317837,0.160305,21,baseline
held_out_only,False,fleurs_wer,variety_wer,within_language,es_419,0.324372,0.122003,24,baseline
held_out_only,False,fleurs_wer,penalty_rel,pooled,ALL,-0.052992,0.703524,54,baseline
held_out_only,False,fleurs_wer,penalty_rel,language_centred,ALL,-0.112018,0.419988,54,baseline
held_out_only,False,fleurs_wer,penalty_rel,within_language,en_us,-0.134840,0.560062,21,baseline
held_out_only,False,fleurs_wer,penalty_rel,within_language,es_419,-0.081093,0.706406,24,baseline
held_out_only,True,primary_wer,variety_wer,pooled,ALL,0.442115,0.000817,54,baseline
held_out_only,True,primary_wer,variety_wer,language_centred,ALL,0.287173,0.035250,54,baseline
held_out_only,True,primary_wer,variety_wer,within_language,en_us,0.317837,0.160305,21,baseline
held_out_only,True,primary_wer,variety_wer,within_language,es_419,0.427582,0.037144,24,baseline
held_out_only,True,primary_wer,penalty_rel,pooled,ALL,-0.222460,0.105917,54,baseline
held_out_only,True,primary_wer,penalty_rel,language_centred,ALL,-0.303082,0.025896,54,baseline
held_out_only,True,primary_wer,penalty_rel,within_language,en_us,-0.134840,0.560062,21,baseline
held_out_only,True,primary_wer,penalty_rel,within_language,es_419,-0.383349,0.064439,24,baseline
held_out_only,True,fleurs_wer,variety_wer,pooled,ALL,0.247208,0.071517,54,baseline
