model_short,study_cell,dataset,variety_cer,num_samples,primary_cer,fleurs_cer,population,language_name,accent_match,variety_seen_in_training,parent_selected_on_fleurs,is_degenerate,penalty_abs,penalty_rel
Qwen2-Audio-7B,en_us,en_au,13.870000,3880.000000,16.800000,4.670000,baseline,English,same,False,True,False,-2.930000,0.825595
Voxtral-Mini-3B-2507,en_us,en_au,9.950000,3880.000000,9.950000,2.110000,baseline,English,same,False,True,False,0.000000,1.000000
whisper-medium,en_us,en_au,9.460000,3880.000000,10.390000,2.350000,baseline,English,same,False,True,False,-0.930000,0.910491
Qwen2-Audio-7B,en_us,en_jm,17.660000,117.000000,16.800000,4.670000,baseline,English,same,False,True,False,0.860000,1.051190
Voxtral-Mini-3B-2507,en_us,en_jm,7.970000,117.000000,9.950000,2.110000,baseline,English,same,False,True,False,-1.980000,0.801005
whisper-medium,en_us,en_jm,7.620000,117.000000,10.390000,2.350000,baseline,English,same,False,True,False,-2.770000,0.733397
Qwen2-Audio-7B,en_us,en_ke,25.020000,1822.000000,16.800000,4.670000,baseline,English,same,False,True,False,8.220000,1.489286
Voxtral-Mini-3B-2507,en_us,en_ke,19.490000,1822.000000,9.950000,2.110000,baseline,English,same,False,True,False,9.540000,1.958794
whisper-medium,en_us,en_ke,25.390000,1822.000000,10.390000,2.350000,baseline,English,same,False,True,False,15.000000,2.443696
Qwen2-Audio-7B,en_us,en_nz,13.040000,3074.000000,16.800000,4.670000,baseline,English,same,False,True,False,-3.760000,0.776190
Voxtral-Mini-3B-2507,en_us,en_nz,8.470000,3074.000000,9.950000,2.110000,baseline,English,same,False,True,False,-1.480000,0.851256
whisper-medium,en_us,en_nz,9.740000,3074.000000,10.390000,2.350000,baseline,English,same,False,True,False,-0.650000,0.937440
Qwen2-Audio-7B,en_us,en_pk,110.100000,237.000000,16.800000,4.670000,baseline,English,same,False,True,False,93.300000,6.553571
Voxtral-Mini-3B-2507,en_us,en_pk,78.470000,237.000000,9.950000,2.110000,baseline,English,same,False,True,False,68.520000,7.886432
whisper-medium,en_us,en_pk,87.700000,237.000000,10.390000,2.350000,baseline,English,same,False,True,False,77.310000,8.440808
Qwen2-Audio-7B,en_us,en_sl,19.870000,1238.000000,16.800000,4.670000,baseline,English,same,False,True,False,3.070000,1.182738
Voxtral-Mini-3B-2507,en_us,en_sl,14.120000,1238.000000,9.950000,2.110000,baseline,English,same,False,True,False,4.170000,1.419095
whisper-medium,en_us,en_sl,16.710000,1238.000000,10.390000,2.350000,baseline,English,same,False,True,False,6.320000,1.608277
Qwen2-Audio-7B,en_us,en_zm,21.170000,3527.000000,16.800000,4.670000,baseline,English,same,False,True,False,4.370000,1.260119
Voxtral-Mini-3B-2507,en_us,en_zm,15.830000,3527.000000,9.950000,2.110000,baseline,English,same,False,True,False,5.880000,1.590955
whisper-medium,en_us,en_zm,17.770000,3527.000000,10.390000,2.350000,baseline,English,same,False,True,False,7.380000,1.710298
Qwen2-Audio-7B,es_419,es_ar,22.350000,3032.000000,12.210000,3.900000,baseline,Spanish (LatAm),related,False,True,False,10.140000,1.830467
Voxtral-Mini-3B-2507,es_419,es_ar,20.010000,3032.000000,8.460000,1.730000,baseline,Spanish (LatAm),related,False,True,False,11.550000,2.365248
