run_id,dataset,language_name,model_short,state,global_step,batch_size,gradient_accumulation_steps,effective_batch,samples_processed,audio_hours_processed,epochs_logged,mean_sample_seconds,train_configs,n_train_configs,stream_exhausted,estimate_kind,implied_stream_samples,implied_stream_hours,expected_stream_examples,expected_stream_examples_post_filter,n_dropped_by_cap,ratio_implied_to_expected,ratio_implied_to_expected_post_filter,ratio_to_closest_single_config,accounting_flag,mean_sample_seconds_within_cap
12sof3iv,crs_sc,Seychellois Creole,base,finished,1000,8,64,512,512000,2114.383794,1.286000,14.866761,crs_sc,1,True,estimate,398133.748056,1644.155361,,,,,,,expected_size_unknown,True
g8f56u6p,crs_sc,Seychellois Creole,earth,finished,1000,8,64,512,512000,2114.383794,1.286000,14.866761,crs_sc,1,True,estimate,398133.748056,1644.155361,,,,,,,expected_size_unknown,True
wvi4k6py,crs_sc,Seychellois Creole,fire,finished,1000,8,64,512,512000,2114.383794,1.286000,14.866761,crs_sc,1,True,estimate,398133.748056,1644.155361,,,,,,,expected_size_unknown,True
ea7a4ud8,crs_sc,Seychellois Creole,global,finished,1000,8,64,512,512000,2114.383794,1.286000,14.866761,crs_sc,1,True,estimate,398133.748056,1644.155361,,,,,,,expected_size_unknown,True
95kqse0h,crs_sc,Seychellois Creole,water,finished,1000,8,64,512,512000,2114.383794,1.286000,14.866761,crs_sc,1,True,estimate,398133.748056,1644.155361,,,,,,,expected_size_unknown,True
dv5swzra,crs_sc,Seychellois Creole,qwen3-4b,running,130,8,64,512,66560,274.794864,0.130000,14.862703,crs_sc,1,False,lower_bound,512000.000000,2113.806643,,,,,,,expected_size_unknown,True
2oxfzx48,en_us,English,earth,finished,1000,8,64,512,512000,2707.768965,1.000000,19.039001,en_us,1,False,lower_bound,512000.000000,2707.768965,666718.000000,666718.000000,0.000000,0.767941,0.767941,,stream_never_exhausted_lower_bound_only,True
ll76cvwc,en_us,English,fire,finished,1000,8,64,512,512000,2707.768965,1.000000,19.039001,en_us,1,False,lower_bound,512000.000000,2707.768965,666718.000000,666718.000000,0.000000,0.767941,0.767941,,stream_never_exhausted_lower_bound_only,True
8g3x2qon,en_us,English,global,finished,1000,8,64,512,512000,2707.768965,1.000000,19.039001,en_us,1,False,lower_bound,512000.000000,2707.768965,666718.000000,666718.000000,0.000000,0.767941,0.767941,,stream_never_exhausted_lower_bound_only,True
n4cot5v7,en_us,English,water,finished,1000,8,64,512,512000,2707.768965,1.000000,19.039001,en_us,1,False,lower_bound,512000.000000,2707.768965,666718.000000,666718.000000,0.000000,0.767941,0.767941,,stream_never_exhausted_lower_bound_only,True
g5wa6b96,es_419,Spanish (LatAm),earth,running,80,8,64,512,40960,169.955932,0.080000,14.937533,es_419,1,False,lower_bound,512000.000000,2124.449151,866048.000000,866048.000000,0.000000,0.591191,0.591191,,stream_never_exhausted_lower_bound_only,True
x2hdvem2,es_419,Spanish (LatAm),fire,running,80,8,64,512,40960,169.955932,0.080000,14.937533,es_419,1,False,lower_bound,512000.000000,2124.449151,866048.000000,866048.000000,0.000000,0.591191,0.591191,,stream_never_exhausted_lower_bound_only,True
jn9l4dgu,es_419,Spanish (LatAm),global,running,80,8,64,512,40960,169.955932,0.080000,14.937533,es_419,1,False,lower_bound,512000.000000,2124.449151,866048.000000,866048.000000,0.000000,0.591191,0.591191,,stream_never_exhausted_lower_bound_only,True
