dataset,language_name,n_runs,train_configs,epochs_logged,audio_hours_processed,mean_sample_seconds,implied_stream_hours,implied_stream_samples,estimate_kind,expected_stream_examples,expected_stream_examples_post_filter,n_dropped_by_cap,ratio_implied_to_expected,ratio_implied_to_expected_post_filter,ratio_to_closest_single_config,accounting_flag
ta_in,Tamil,4,ta_in+ta_lk,58.014000,2019.961006,14.202851,34.818509,8825.455924,estimate,32107.000000,8846.000000,23261.000000,0.274876,0.997678,0.997678,reconciles
am_et,Amharic,4,am_et,58.014000,2215.516723,15.577852,38.189346,8825.455924,estimate,8873.000000,8873.000000,0.000000,0.994642,0.994642,,reconciles
ha_ng,Hausa,4,ha_ng+ha_td,18.046000,2265.632343,15.930227,125.547620,28371.938380,estimate,27255.000000,27255.000000,0.000000,1.040981,1.040981,1.843531,reconciles
ur_pk,Urdu,4,ur_pk+ur_in,16.040000,1356.245630,9.536102,84.553967,31920.199501,estimate,31079.000000,31079.000000,0.000000,1.027066,1.027066,1.134255,reconciles
mr_in,Marathi,4,mr_in,8.096000,1913.041684,13.451074,236.294674,63241.106719,estimate,58201.000000,58201.000000,0.000000,1.086598,1.086598,,reconciles
id_id,Indonesian,4,id_id,5.015000,2181.455403,15.338358,434.986122,102093.718843,estimate,101112.000000,101112.000000,0.000000,1.009709,1.009709,,reconciles
fr_fr,French,4,fr_fr,2.242000,2304.346432,16.202436,1027.808400,228367.528992,estimate,207449.000000,199151.040000,8297.960000,1.100837,1.146705,,reconciles
es_419,Spanish (LatAm),4,es_419,2.196000,2128.955993,14.969222,969.469942,233151.183971,estimate,205972.000000,205972.000000,0.000000,1.131956,1.131956,,reconciles
sw_ke,Swahili,4,sw_ke+sw_tz,1.411000,1482.037092,10.420573,1050.345211,362863.217576,estimate,302088.000000,302088.000000,0.000000,1.201184,1.201184,1.811472,reconciles
hi_in,Hindi,4,hi_in,1.000000,1939.252849,13.635372,1939.252849,512000.000000,lower_bound,577382.000000,577382.000000,0.000000,0.886761,0.886761,,stream_never_exhausted_lower_bound_only
en_us,English,4,en_us,1.000000,2707.768965,19.039001,2707.768965,512000.000000,lower_bound,666718.000000,666718.000000,0.000000,0.767941,0.767941,,stream_never_exhausted_lower_bound_only
crs_sc,Seychellois Creole,4,crs_sc,1.398610,2112.165530,14.851164,1510.189066,366077.748622,estimate,,,,,,,expected_size_unknown
