dataset,language_name,region,stream_post_filter,expected_stream_examples,n_dropped_by_cap,log10_stream,epochs_logged,baseline_cer,matched,mismatched_mean,global,delta_vs_mismatched,delta_vs_global,relative_delta_vs_mismatched_pct,relative_delta_vs_global_pct,estimate_kind,train_eval_match
ta_in,Tamil,fire,8846.000000,32107.000000,23261.000000,3.946747,58.014000,58.325000,43.630000,58.325000,61.210000,-14.695000,-17.580000,-25.195028,-28.720797,estimate,clean
am_et,Amharic,earth,8873.000000,8873.000000,0.000000,3.948070,58.014000,29.220000,29.860000,29.220000,30.020000,0.640000,-0.160000,2.190281,-0.532978,estimate,clean
ha_ng,Hausa,earth,27255.000000,27255.000000,0.000000,4.435446,18.046000,34.615000,33.430000,34.615000,35.030000,-1.185000,-1.600000,-3.423371,-4.567514,estimate,clean
ur_pk,Urdu,fire,31079.000000,31079.000000,0.000000,4.492467,16.040000,20.805000,22.240000,20.805000,17.640000,1.435000,4.600000,6.897380,26.077098,estimate,clean
mr_in,Marathi,fire,58201.000000,58201.000000,0.000000,4.764930,8.096000,14.010000,13.570000,14.010000,14.140000,-0.440000,-0.570000,-3.140614,-4.031117,estimate,clean
id_id,Indonesian,water,101112.000000,101112.000000,0.000000,5.004803,5.015000,6.135000,5.740000,6.135000,6.050000,-0.395000,-0.310000,-6.438468,-5.123967,estimate,clean
fr_fr,French,water,199151.040000,207449.000000,8297.960000,5.299183,2.242000,6.790000,6.360000,6.790000,6.610000,-0.430000,-0.250000,-6.332842,-3.782148,estimate,dialect_mismatch
es_419,Spanish (LatAm),water,205972.000000,205972.000000,0.000000,5.313808,2.196000,3.345000,3.410000,3.345000,3.400000,0.065000,0.010000,1.943199,0.294118,estimate,clean
sw_ke,Swahili,earth,302088.000000,302088.000000,0.000000,5.480133,1.411000,13.675000,13.530000,13.675000,12.600000,-0.145000,0.930000,-1.060329,7.380952,estimate,clean
hi_in,Hindi,fire,577382.000000,577382.000000,0.000000,5.761463,1.000000,12.050000,13.110000,12.050000,13.180000,1.060000,-0.070000,8.796680,-0.531108,lower_bound,clean
en_us,English,water,666718.000000,666718.000000,0.000000,5.823942,1.000000,4.665000,12.050000,4.665000,4.960000,7.385000,7.090000,158.306538,142.943548,lower_bound,clean
