run_id,dataset,language_name,region,model_short,model_id,state,eval_domain,accent_match,resource_tier,eval_dataset_path,eval_split,train_loss_final,train_loss_best,eval_loss_final,eval_loss_best,audio_h_to_best_eval_loss,frac_of_run_to_best_eval_loss,generalisation_gap,eval_loss_final_minus_best,eval_loss_late_sd,n_eval_points
wd3s5858,am_et,Amharic,earth,earth,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,finished,cross_domain,same,very_low,google/fleurs,validation,0.247800,0.246000,0.893568,0.723022,553.592697,0.249871,0.645768,0.170546,0.010435,101
p7yi3bau,am_et,Amharic,earth,fire,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,finished,cross_domain,same,very_low,google/fleurs,validation,0.264900,0.261900,0.890860,0.756403,597.764726,0.269808,0.625960,0.134457,0.011750,101
u1t6bx57,am_et,Amharic,earth,global,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,finished,cross_domain,same,very_low,google/fleurs,validation,0.257600,0.255300,0.900741,0.739853,575.974477,0.259973,0.643141,0.160888,0.008726,101
8fupnxu6,am_et,Amharic,earth,water,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,finished,cross_domain,same,very_low,google/fleurs,validation,0.341800,0.338400,0.967009,0.830694,752.742761,0.339759,0.625209,0.136315,0.011198,101
12sof3iv,crs_sc,Seychellois Creole,,base,q2a_openai/whisper-medium_CohereLabs/tiny-aya-base,finished,in_domain,same,high,ERISLab/WorldSpeech,val_clean,0.606600,0.564100,0.634201,0.634098,2093.321134,0.990038,0.027601,0.000103,0.002141,101
g8f56u6p,crs_sc,Seychellois Creole,,earth,q2a_openai/whisper-medium_CohereLabs/tiny-aya-earth,finished,in_domain,same,high,ERISLab/WorldSpeech,val_clean,0.644500,0.604700,0.677517,0.677150,2029.812994,0.960002,0.033017,0.000367,0.002153,101
wvi4k6py,crs_sc,Seychellois Creole,,fire,q2a_openai/whisper-medium_CohereLabs/tiny-aya-fire,finished,in_domain,same,high,ERISLab/WorldSpeech,val_clean,0.635100,0.596400,0.666536,0.666395,2029.812994,0.960002,0.031436,0.000141,0.001910,101
ea7a4ud8,crs_sc,Seychellois Creole,,global,q2a_openai/whisper-medium_CohereLabs/tiny-aya-global,finished,in_domain,same,high,ERISLab/WorldSpeech,val_clean,0.645000,0.605200,0.676579,0.676528,2029.812994,0.960002,0.031579,0.000051,0.002133,101
95kqse0h,crs_sc,Seychellois Creole,,water,q2a_openai/whisper-medium_CohereLabs/tiny-aya-water,finished,in_domain,same,high,ERISLab/WorldSpeech,val_clean,0.639500,0.598600,0.671073,0.671073,2114.383794,1.000000,0.031573,0.000000,0.002152,101
dv5swzra,crs_sc,Seychellois Creole,,qwen3-4b,q2a_openai/whisper-medium_Qwen/Qwen3-4B,finished,in_domain,same,high,ERISLab/WorldSpeech,val_clean,0.601900,0.562900,0.633360,0.633360,2114.383794,1.000000,0.031460,0.000000,0.001727,101
