serial,model_id,dataset,dataset_path,split,state,force_asr_language,num_samples,audio_length_s_mean,wer,mer,wil,wip,rtfx,no_params,n_params,total_MB,bpw,max_memory,study_cell,language_name,resource_tier,model_short,eval_domain,in_domain_role
10,Qwen/Qwen2-Audio-7B,am_et,disco-eth/WorldSpeech,test,finished,am,468.000000,14.658410,160.250000,99.970000,100.000000,0.000000,71.680000,8397.094900,8397094912.000000,16016.187500,16.000000,125476.000000,am_et,Amharic,very_low,Qwen2-Audio-7B,in_domain,primary
10,Qwen/Qwen2-Audio-7B,am_et,google/fleurs,test,finished,am,516.000000,11.251395,129.810000,99.960000,100.000000,0.000000,67.530000,8397.094900,8397094912.000000,16016.187500,16.000000,122012.000000,am_et,Amharic,very_low,Qwen2-Audio-7B,cross_domain,
10,mistralai/Voxtral-Mini-3B-2507,am_et,disco-eth/WorldSpeech,test,finished,am,468.000000,14.658410,134.590000,99.960000,100.000000,0.000000,188.400000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,am_et,Amharic,very_low,Voxtral-Mini-3B-2507,in_domain,primary
10,mistralai/Voxtral-Mini-3B-2507,am_et,google/fleurs,test,finished,am,516.000000,11.251395,108.150000,99.800000,100.000000,0.000000,203.930000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,am_et,Amharic,very_low,Voxtral-Mini-3B-2507,cross_domain,
10,openai/whisper-medium,am_et,disco-eth/WorldSpeech,test,finished,am,468.000000,14.658410,215.390000,99.990000,100.000000,0.000000,167.390000,763.857900,816967680.000000,1558.242188,16.000000,80294.000000,am_et,Amharic,very_low,whisper-medium,in_domain,primary
10,openai/whisper-medium,am_et,google/fleurs,test,finished,am,516.000000,11.251395,365.320000,99.990000,100.000000,0.000000,155.690000,763.857900,816967680.000000,1558.242188,16.000000,80280.000000,am_et,Amharic,very_low,whisper-medium,cross_domain,
10,Qwen/Qwen2-Audio-7B,crs_sc,ERISLab/WorldSpeech,test_clean,running,crs,,,,,,,,,,,,,crs_sc,Seychellois Creole,high,Qwen2-Audio-7B,in_domain,primary
10,mistralai/Voxtral-Mini-3B-2507,crs_sc,ERISLab/WorldSpeech,test_clean,failed,crs,,,,,,,,,,,,,crs_sc,Seychellois Creole,high,Voxtral-Mini-3B-2507,in_domain,primary
10,openai/whisper-medium,crs_sc,ERISLab/WorldSpeech,test_clean,failed,crs,,,,,,,,,,,,,crs_sc,Seychellois Creole,high,whisper-medium,in_domain,primary
10,mistralai/Voxtral-Mini-3B-2507,en_au,disco-eth/WorldSpeech,test,finished,en,3880.000000,26.329377,13.740000,13.030000,17.220000,82.780000,226.040000,4676.271100,4676271104.000000,8922.941406,16.006570,34452.000000,en_us,English,high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,en_au,disco-eth/WorldSpeech,test,finished,en,3880.000000,26.329377,13.360000,12.740000,17.000000,83.000000,425.620000,763.857900,816967680.000000,1558.242188,16.000000,24996.000000,en_us,English,high,whisper-medium,in_domain,accent_transfer
10,mistralai/Voxtral-Mini-3B-2507,en_jm,disco-eth/WorldSpeech,test,finished,en,117.000000,14.818038,12.120000,11.580000,16.450000,83.550000,266.750000,4676.271100,4676271104.000000,8922.941406,16.006570,20060.000000,en_us,English,high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,en_jm,disco-eth/WorldSpeech,test,finished,en,117.000000,14.818038,11.760000,11.290000,16.260000,83.740000,405.070000,763.857900,816967680.000000,1558.242188,16.000000,20464.000000,en_us,English,high,whisper-medium,in_domain,accent_transfer
10,mistralai/Voxtral-Mini-3B-2507,en_ke,disco-eth/WorldSpeech,test,finished,en,1822.000000,14.909561,27.280000,24.030000,32.860000,67.140000,251.030000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,en_us,English,high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,en_ke,disco-eth/WorldSpeech,test,finished,en,1822.000000,14.909561,34.880000,29.560000,38.770000,61.230000,263.780000,763.857900,816967680.000000,1558.242188,16.000000,80326.000000,en_us,English,high,whisper-medium,in_domain,accent_transfer
10,mistralai/Voxtral-Mini-3B-2507,en_nz,disco-eth/WorldSpeech,test,finished,en,3074.000000,25.776929,11.140000,10.710000,14.120000,85.880000,229.000000,4676.271100,4676271104.000000,8922.941406,16.006570,35130.000000,en_us,English,high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,en_nz,disco-eth/WorldSpeech,test,finished,en,3074.000000,25.776929,12.970000,12.330000,15.900000,84.100000,358.300000,763.857900,816967680.000000,1558.242188,16.000000,80290.000000,en_us,English,high,whisper-medium,in_domain,accent_transfer
10,mistralai/Voxtral-Mini-3B-2507,en_pk,disco-eth/WorldSpeech,test,finished,en,237.000000,6.005460,108.600000,84.770000,96.760000,3.240000,114.790000,4676.271100,4676271104.000000,8922.941406,16.006570,20380.000000,en_us,English,high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,en_pk,disco-eth/WorldSpeech,test,finished,en,237.000000,6.005460,93.870000,84.560000,96.470000,3.530000,252.890000,763.857900,816967680.000000,1558.242188,16.000000,22230.000000,en_us,English,high,whisper-medium,in_domain,accent_transfer
10,mistralai/Voxtral-Mini-3B-2507,en_sl,disco-eth/WorldSpeech,test,finished,en,1238.000000,14.775622,22.020000,20.350000,29.440000,70.560000,274.230000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,en_us,English,high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,en_sl,disco-eth/WorldSpeech,test,finished,en,1238.000000,14.775622,25.840000,23.320000,32.680000,67.320000,258.220000,763.857900,816967680.000000,1558.242188,16.000000,80280.000000,en_us,English,high,whisper-medium,in_domain,accent_transfer
10,Qwen/Qwen2-Audio-7B,en_us,google/fleurs,test,finished,en,647.000000,9.873107,7.790000,7.630000,12.110000,87.890000,156.030000,8397.094900,8397094912.000000,16016.187500,16.000000,137404.000000,en_us,English,high,Qwen2-Audio-7B,cross_domain,
10,mistralai/Voxtral-Mini-3B-2507,en_us,disco-eth/WorldSpeech,test,finished,en,35336.000000,19.014600,13.130000,12.260000,15.910000,84.090000,315.720000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,en_us,English,high,Voxtral-Mini-3B-2507,in_domain,primary
10,mistralai/Voxtral-Mini-3B-2507,en_us,google/fleurs,test,finished,en,647.000000,9.873107,4.420000,4.390000,7.180000,92.820000,325.640000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,en_us,English,high,Voxtral-Mini-3B-2507,cross_domain,
10,openai/whisper-medium,en_us,disco-eth/WorldSpeech,test,finished,en,35336.000000,19.014600,13.810000,12.890000,16.690000,83.310000,438.880000,763.857900,816967680.000000,1558.242188,16.000000,80328.000000,en_us,English,high,whisper-medium,in_domain,primary
10,openai/whisper-medium,en_us,google/fleurs,test,finished,en,647.000000,9.873107,5.250000,5.210000,8.630000,91.370000,621.980000,763.857900,816967680.000000,1558.242188,16.000000,22230.000000,en_us,English,high,whisper-medium,cross_domain,
10,mistralai/Voxtral-Mini-3B-2507,en_zm,disco-eth/WorldSpeech,test,finished,en,3527.000000,14.807999,23.790000,21.950000,31.660000,68.340000,264.600000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,en_us,English,high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,en_zm,disco-eth/WorldSpeech,test,finished,en,3527.000000,14.807999,26.130000,23.910000,33.830000,66.170000,337.800000,763.857900,816967680.000000,1558.242188,16.000000,80326.000000,en_us,English,high,whisper-medium,in_domain,accent_transfer
10,Qwen/Qwen2-Audio-7B,es_419,google/fleurs,test,finished,es,908.000000,12.253414,6.420000,6.330000,10.280000,89.720000,140.420000,8397.094900,8397094912.000000,16016.187500,16.000000,125200.000000,es_419,Spanish (LatAm),high,Qwen2-Audio-7B,cross_domain,
10,mistralai/Voxtral-Mini-3B-2507,es_419,google/fleurs,test,finished,es,908.000000,12.253414,3.330000,3.320000,5.110000,94.890000,282.040000,4676.271100,4676271104.000000,8922.941406,16.006570,32728.000000,es_419,Spanish (LatAm),high,Voxtral-Mini-3B-2507,cross_domain,
10,openai/whisper-medium,es_419,google/fleurs,test,finished,es,908.000000,12.253414,3.570000,3.550000,6.070000,93.930000,640.770000,763.857900,816967680.000000,1558.242188,16.000000,22260.000000,es_419,Spanish (LatAm),high,whisper-medium,cross_domain,
10,mistralai/Voxtral-Mini-3B-2507,es_ar,disco-eth/WorldSpeech,test,finished,es,3032.000000,14.967700,28.610000,25.950000,36.520000,63.480000,260.110000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,es_419,Spanish (LatAm),high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,es_ar,disco-eth/WorldSpeech,test,finished,es,3032.000000,14.967700,29.200000,26.510000,37.360000,62.640000,323.720000,763.857900,816967680.000000,1558.242188,16.000000,80280.000000,es_419,Spanish (LatAm),high,whisper-medium,in_domain,accent_transfer
10,mistralai/Voxtral-Mini-3B-2507,es_cl,disco-eth/WorldSpeech,test,finished,es,20912.000000,14.912810,27.980000,25.280000,35.400000,64.600000,257.980000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,es_419,Spanish (LatAm),high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,es_cl,disco-eth/WorldSpeech,test,finished,es,20912.000000,14.912810,72.030000,49.030000,59.570000,40.430000,177.740000,763.857900,816967680.000000,1558.242188,16.000000,80280.000000,es_419,Spanish (LatAm),high,whisper-medium,in_domain,accent_transfer
10,mistralai/Voxtral-Mini-3B-2507,es_co,disco-eth/WorldSpeech,test,finished,es,1893.000000,14.987159,15.560000,14.480000,19.650000,80.350000,256.890000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,es_419,Spanish (LatAm),high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
10,openai/whisper-medium,es_co,disco-eth/WorldSpeech,test,finished,es,1893.000000,14.987159,101.930000,58.200000,67.060000,32.940000,163.030000,763.857900,816967680.000000,1558.242188,16.000000,80294.000000,es_419,Spanish (LatAm),high,whisper-medium,in_domain,accent_transfer
10,mistralai/Voxtral-Mini-3B-2507,es_es,disco-eth/WorldSpeech,test,finished,es,34140.000000,8.445468,11.810000,11.420000,15.920000,84.080000,176.270000,4676.271100,4676271104.000000,8922.941406,16.006570,20818.000000,es_419,Spanish (LatAm),high,Voxtral-Mini-3B-2507,in_domain,accent_transfer
