dataset,language_name,region,resource_tier,exposure_matched_pct,exposure_global_pct,exposure_mismatched_mean_pct,excess_pp,ratio_matched_over_global,delta_vs_mismatched,delta_vs_global
en_us,English,water,high,17.000000,13.800000,32.150000,-15.150000,1.231884,7.385000,7.090000
es_419,Spanish (LatAm),water,high,2.100000,1.700000,1.200000,0.900000,1.235294,0.065000,0.010000
fr_fr,French,water,high,2.200000,1.800000,1.250000,0.950000,1.222222,-0.430000,-0.250000
am_et,Amharic,earth,very_low,1.300000,1.000000,0.000000,1.300000,1.300000,1.320000,2.250000
sw_ke,Swahili,earth,high,1.300000,1.000000,0.000000,1.300000,1.300000,-0.145000,0.930000
ha_ng,Hausa,earth,mid,1.300000,1.000000,0.000000,1.300000,1.300000,-1.185000,-1.600000
id_id,Indonesian,water,high,2.000000,1.600000,0.100000,1.900000,1.250000,-0.395000,-0.310000
ur_pk,Urdu,fire,low,3.400000,1.000000,1.250000,2.150000,3.400000,1.435000,4.600000
ta_in,Tamil,fire,very_low,3.400000,1.000000,0.000000,3.400000,3.400000,-14.695000,-17.580000
mr_in,Marathi,fire,mid,3.700000,1.100000,0.100000,3.600000,3.363636,-0.440000,-0.570000
hi_in,Hindi,fire,high,5.800000,1.700000,0.100000,5.700000,3.411765,1.060000,-0.070000
